var_shortn,var_longn_eng,SHIP-START-4 Code Parts ,LOINC,LOINC code parts,Relation,Cardinality,,,,,,,,,,,,,,,,,,,
alat_s,LAB: alanine aminotransferase (ALAT/GPT) (µkatal/l),"C: Alanine aminotransferase (ALAT/GPT)
P: µkatal/l
T: Pt
S: Serum/Plasma
Sc: Qn
M:  ",1742-6,"C: Alanine aminotransferase
P: CCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,,,,,,,,,,
asat_s,LAB: aspartate aminotransferase (ASAT/GOT) (µkatal/l),"C: Aspartate aminotransferase (ASAT/GOT)
P: µkatal/l
T: Pt
S: Serum/Plasma
Sc: Qn
M:  ",1920-8,"C: Aspartate aminotransferase
P: CCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,,,,,,,,,,
alb_s,LAB: serum albumin (g/l),"C: Serum albumin 
P: g/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",1751-7 ,"C: Albumin
P: MCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,,,,,,,,,,
ferri,Ferritin (µg/l),"C: Ferritin
P: µg/l
T: Pt
S: Ser/Plas
Sc: Qn
M:",2276-4,"C: Ferritin
P: MCnc
T: Pt
S: Ser/Plas
Sc: Qn
M:",=,2,,,,,,,,,,,,,,,,,,,
ldlch,LAB: LDL-cholesterol (mmol/l),"C: LDL-cholesterol
P: mmol/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",22748-8,"C: Cholesterol.in LDL
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,,,,,,,,,,
tsh,LAB: TSH/thyroid-stimulating hormone (mU/l),"C: TSH/thyroid-stimulating hormone 
P: mU/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",3016-3,"C: Thyrotropin
P: ACnc
T: Pt
S: Ser/Plas
Sc: Qn
M:",=,2,,,,,,,,,,,,,,,,,,,
ft3,"LAB: f T3/triiodothyronine, free (pmol/l)","C:  f T3/triiodothyronine, free 
P: pmol/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",14928-6,"C: Triiodothyronine.free
P: SCnc
T: Pt
S: Serum/Plasma
Sc: Qn
M:",=,2,,,,,,,,,,,,,,,,,,,
ft4,"LAB: f T4/thyroxine, free (pmol/l)","C:  f T4/thyroxine, free 
P: pmol/l
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",14920-3,"C: Thyroxine.free
P: SCnc
T: Pt
S. Serum/Plasma
Sc: Qn
M: ",=,2,,,,,,,,,,,,,,,,,,,
tpo_ak,LAB: TPO-AK/ anti-thyroid peroxidase antibody (U/ml),"C: TPO-AK/ anti-thyroid peroxidase antibody 
P: U/ml
T: Pt
S: Serum/Plasma
Sc: Qn
M: ",8099-4,"C: Thyroperoxidase Ab
P: ACnc
T: Pt
S: Serum/Plasma
Sc: Qn
",=,2,,,,,,,,,,,,,,,,,,,
ph_u,LAB: (urine) pH,"C: pH
P: 
T: Pt
S: Urine
Sc: Qn
M:",2756-5,"C: pH
P: LsCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
leuco_u,LAB: (urine) leukocytes (Zellen/µl),"C: Leukocytes
P: Zellen/µl
T: Pt
S: Urine
Sc: Qn
M:",30405-5,"C: Leukocytes
P: NCnc
T: Pt
S: Urine
Sc: Qn
M:",=,3,,,,,,,,,,,,,,,,,,,
nitri_u,LAB: (urine) nitrite (pos/neg),"C: Nitrite
P: pos/neg
T: Pt
S: Urine
Sc: Ord
M:",32710-6,"C: Nitrite
P: PrThr
T: Pt
S: Urine
Sc: Ord
M:",=,3,,,,,,,,,,,,,,,,,,,
